1/26/2011 9:36:43 PM
store name , store id
"button ring",2064
"Handbag - Petite blk/umbrella",2079
"Tray - Ida",2085
"Ring - Blue Topaz Cab GF",2096
"Honeycomb - Silver - Ace",2104
"Bookends - Amethyst",2106
"Earrings - Clip-On",2109
"Pillow - Hadley Hutton",2113
"button earrings",2065
"Handbag - Petite black/ship",2080
"Tray - Betty",2086
"Ring - Pink Tourmaline  GF",2097
"Necklace - aqua aura crystal",2105
"Bookends - Agate",2107
"Card - Fox in birch grove",2110
"Card - Chocolate Day",2114
"button bracelet",2066
"Handbag - Petite grey/robin",2081
"Henrietta the Bird",2087
"Ring - sleep beauty turqu - GF",2098
"Bookends - Agate - large",2108
"Hat - little lark - organic",2111
"Card - Magnolia Nest",2115
"Earrings - bunny in circle",2124
"button bobby pin",2067
"Handbag - Petite copper/leaf",2082
"Poster - Manhattan",2088
"Ring - sleep beauty turqu - sil",2099
"Candle - spring blend",2112
"Card - Watching Over",2116
"Barrette - Feather - large",2125
"Card - birthday wishes",2146
"Honey - Meadowfoam 16oz jar",2173
"Cloth make-up bag",2068
"Handbag - Evening blue/bike",2083
"Candle - Votive - Lucia #8",2089
"Ring - Citrine - Sterling",2100
"Necklace Pendant Hadley Hutton",2117
"Barrette - Brass - large",2126
"Card - happy bday pink/green",2147
"Honey - blackberry bear",2174
"Cloth coin purse",2069
"Handbag - Evening blue/bird",2084
"Candle - Votive - Lucia #4",2090
"Ring - Garnet - Sterling",2101
"Print - Hadley Hutton",2118
"Barrette - Silver - large",2127
"Card - Happy bday pink/grn polk",2148
"Honey - clover bear",2175
"Cloth pencil pouch",2070
"Candle - Votive - Lucia #2",2091
"Ring - Iolite - Sterling",2102
"Card - Flight of the Bee",2119
"Bracelet - bangle - pebble",2128
"Card - Happy bday poppy/blk",2149
"Paper Weight - Birch",2176
"Honeycomb Shelf",2190
"Soap - blackberry mint 100gm",2217
"Card - Forever Phoenix",2071
"Gift Wrap - papaya "flower"",2092
"Ring - Peridot - Sterling",2103
"Card - Bumble Bee",2120
"Bracelet - bangle - parabola",2129
"Card - with sympathy",2150
"Click 4 pk - Amy Ruppel whales",2177
"Hand of Reason",2191
"Card - yellow rose birthday",2072
"Gift Wrap - papaya "Flora's"",2093
